물질키_InChIKey14,Murcko골격,eye_구분,eye_출처,skin_구분,skin_출처,대표성분명,대표CAS,대표SMILES,등장제형수
QQODLKZGRKWIFG,O=C(OCc1cccc(Oc2ccccc2)c1)C1CC1,NC,팀원A,NC,팀원A,Cyfluthrin,68359-37-5,CC1(C)C(C=C(Cl)Cl)C1C(=O)OC(C#N)C1=CC=C(F)C(OC2=CC=CC=C2)=C1,12
QQONPFPTGQHPMA,__ACYCLIC__,,,,,Polypropylene,,C=CC,2
QQQYTWIFVNKMRW,O=C(NC(=O)c1ccccc1)Nc1ccccc1,NC,팀원A,NC,팀원A,Diflubenzuron,35367-38-5,FC1=CC=CC(F)=C1C(=O)NC(=O)NC1=CC=C(Cl)C=C1,7
QTBSBXVTEAMEQO,__ACYCLIC__,1,phase1,1,phase1,Acetic Acid,64-19-7,CC(=O)O,10
QTYCMDBMOLSEAM,c1ccc(CC2CCCC2Cn2cncn2)cc1,NC,팀원A,NC,팀원A,ipconazole,125225-28-7,CC(C)C1CCC(Cc2ccc(Cl)cc2)C1(O)Cn1cncn1,12
QWTDNUCVQCZILF,__ACYCLIC__,,,,,Isopentane,,CCC(C)C,2
QXAITBQSYVNQDR,C(=Nc1ccccc1)NC=Nc1ccccc1,NC,phase1,NC,phase1,Amitraz,33089-61-1,CN(C=NC1=C(C)C=C(C)C=C1)C=NC1=C(C)C=C(C)C=C1,7
QYYMDNHUJFIDDQ,O=c1ccs[nH]1.O=c1ccs[nH]1,1,팀원A,1,팀원A,Kathon,55965-84-9,Cn1sc(Cl)cc1=O.Cn1sccc1=O,13
QZSFJRIWRPJUOH,c1ccccc1,NC,phase1,NC,phase1,"2-Ethylhexyl (2,4-dichlorophenoxy)acetate",1928-43-4,CCCCC(CC)COC(=O)COC1=C(Cl)C=C(Cl)C=C1,9
QZXATCCPQKOEIH,O=S(=O)(Nc1ccccc1)c1nc2ccncn2n1,,,,,Florasulam,,COc1ncc(F)c2nc(S(=O)(=O)Nc3c(F)cccc3F)nn12,2
RBSXHDIPCIWOMG,O=C(Nc1ncccn1)NS(=O)(=O)c1cnc2ccccn12,NC,팀원A,NC,팀원A,Sulfosulfuron,141776-32-1,CCS(=O)(=O)C1=C(N2C=CC=CC2=N1)S(=O)(=O)NC(=O)NC1=NC(OC)=CC(OC)=N1,3
RBTARNINKXHZNM,__ACYCLIC__,1,팀원A,1,팀원A,Iron trichloride (Ferric Chloride),7705-08-0,[Cl-].[Cl-].[Cl-].[Fe+3],1
RCIJACVHOIKRAP,__ACYCLIC__,,,,,Sodium dioctyl sulfosuccinate,,CCCCCCCCOC(=O)CC(C(=O)OCCCCCCCC)S(=O)(=O)[O-].[Na+],1
RDECBWLKMPEKPM,O=C1CC2C(=CC3C2C=CC2CC(OC4CCCCO4)CC23)C(=O)CC(OC2CCCCO2)CCCCO1,,,,,Spinosad D,131929-63-0,CC[C@H]1CCC[C@H](O[C@H]2CC[C@H](N(C)C)[C@@H](C)O2)[C@@H](C)C(=O)C2=C[C@@H]3[C@@H](C=C(C)[C@@H]4C[C@@H](O[C@@H]5O[C@@H](C)[C@H](OC)[C@@H](OC)[C@H]5OC)C[C@@H]34)[C@@H]2CC(=O)O1,3
REEQLXCGVXDJSQ,c1ccncc1,2,팀원A,NC,팀원A,Triclopyr,55335-06-3,OC(=O)COC1=C(Cl)C=C(Cl)C(Cl)=N1,4
RFFOTVCVTJUTAD,C1CC2CCC1O2,,,,,"1,4-Cineole",,CC(C)C12CCC(C)(CC1)O2,1
RGSFGYAAUTVSQA,C1CCCC1,,,,,Cyclopentane,,C1CCCC1,2
RGZSQWQPBWRIAQ,C1=CCCCC1,,,,,Levomenol,,CC(C)=CCC[C@](C)(O)[C@@H]1CC=C(C)CC1,1
RHUYHJGZWVXEHW,__ACYCLIC__,NC,팀원A,1,팀원A,"N,N-Dimethylhydrazine Standard",57-14-7,CN(C)N,1
RJTHDCSHVMQKDQ,C1=CCCC1,NC,phase1,NC,phase1,"2-Butenal, 2-ethyl-4-(2,2,3-trimethyl-3-cyclopenten-1-yl)-",,CCC(C=O)=CCC1CC=C(C)C1(C)C,1
RLLPVAHGXHCWKJ,O=C(OCc1cccc(Oc2ccccc2)c1)C1CC1,NC,팀원A,NC,팀원A,Permethrin,52645-53-1,CC1(C)C(C=C(Cl)Cl)C1C(=O)OCc1cccc(Oc2ccccc2)c1,48
RLQJEEJISHYWON,c1ccncc1,,,,,Flonicamid,158062-67-0,N#CCNC(=O)c1cnccc1C(F)(F)F,2
RMBFBMJGBANMMK,c1ccccc1,NC,팀원A,NC,팀원A,"2,4-Dinitrotoluene",121-14-2,Cc1ccc([N+](=O)[O-])cc1[N+](=O)[O-],1
RMOGWMIKYWRTKW,c1ccc(CCn2cncn2)cc1,2,팀원A,2,팀원A,Paclobutrazol,76738-62-0,CC(C)(C)[C@H](O)[C@H](CC1=CC=C(Cl)C=C1)N1C=NC=N1,2
RMSLWSACKNSCJW,c1ccc2c(Cc3cccc4ccccc34)cccc2c1,,,,,Sodium salt of sulfonated naphthalene formaldehyde condensate,9084-06-4,O=S(=O)([O-])c1ccc2c(Cc3cccc4cc(S(=O)(=O)[O-])ccc34)cccc2c1.[Na+].[Na+],2
RNLHGQLZWXBQNY,C1CCCCC1,,,,,Isophorone diamine,,CC1(C)CC(N)CC(C)(CN)C1,2
RNWHGQJWIACOKP,__ACYCLIC__,NC,팀원A,NC,팀원A,zinc oxide - <20,1314-13-2,[O-2].[Zn+2],4
ROGDGDPDLIVQFZ,c1ccccc1,,,,,Mecoprop-dimethylammonium,32351-70-5,CNC.CC(OC1=C(C)C=C(Cl)C=C1)C(O)=O,13
RQVYBGPQFYCBGX,c1ncncn1,NC,팀원A,NC,팀원A,Ametryn,834-12-8,CCNc1nc(NC(C)C)nc(SC)n1,2
RRAFCDWBNXTKKO,c1ccccc1,,,,,Eugenol,,C=CCc1ccc(O)c(OC)c1,1
RRZXIRBKKLTSOM,O=C1OC2CC(CC=CC(OC3CCC(OC4CCCCO4)CO3)CC=CC=C3COC4CC=CC1C34)OC1(C=CCCO1)C2,NC,팀원A,NC,팀원A,Avermectin B1a,65195-55-3,[H][C@@]12OCC3=C/C=C/[C@H](C)[C@H](O[C@@]4([H])C[C@H](OC)[C@@H](O[C@@]5([H])C[C@H](OC)[C@@H](O)[C@H](C)O5)[C@H](C)O4)C(C)=CC[C@]4([H])C[C@@H](C[C@]5(O4)O[C@]([H])([C@@H](C)CC)[C@@H](C)C=C5)OC(=O)[C@]([H])(C=C(C)[C@H]1O)[C@@]23O,2
RSMUVYRMZCOLBH,O=C(Nc1ncncn1)NS(=O)(=O)c1ccccc1,NC,팀원A,NC,팀원A,Metsulfuron-methyl,74223-64-6,COC(=O)C1=C(C=CC=C1)S(=O)(=O)NC(=O)NC1=NC(OC)=NC(C)=N1,6
RSVPPPHXAASNOL,c1ccccc1,NC,팀원A,NC,팀원A,Prodiamine,29091-21-2,CCCN(CCC)c1c([N+](=O)[O-])cc(C(F)(F)F)c(N)c1[N+](=O)[O-],4
RSWGJHLUYNHPMX,C1=CC2=CCC3CCCCC3C2CC1,,,,,Abietic Acid,,CC(C)C1=CC2=CC[C@@H]3[C@](C)(CCC[C@@]3(C)C(=O)O)[C@H]2CC1,1
RTCOGUMHFFWOJV,O=C(Nc1ncccn1)NS(=O)(=O)c1ccccn1,2A,phase1,2,phase1,Nicosulfuron,111991-09-4,COC1=CC(OC)=NC(NC(=O)NS(=O)(=O)C2=NC=CC=C2C(=O)N(C)C)=N1,19
RUOJZAUFBMNUDX,O=C1OCCO1,2,팀원A,NC,팀원A,Propylene Carbonate S 5-15,108-32-7,CC1COC(=O)O1,5
RUPBZQFQVRMKDG,__ACYCLIC__,1,팀원A,1,팀원A,Didecyldimethylammonium Chloride,7173-51-5,CCCCCCCCCC[N+](C)(C)CCCCCCCCCC.[Cl-],12
RUVINXPYWBROJD,c1ccccc1,,,,,Anethole,,C/C=C/c1ccc(OC)cc1,1
RVGRUAULSDPKGF,C1CO1.C1CO1,,,,,Polyoxyethylene-polyoxypropylene,,C1CO1.CC1CO1,2
RVJMEWSAFHIEJX,c1ccccc1,2,팀원A,NC,팀원A,"2-Methoxy-3,6-dichlorobenzoic acid potassium salt",10007-85-9,[K+].COC1=C(C([O-])=O)C(Cl)=CC=C1Cl,1
RVJXUBXQGJPVJW,c1ccc(Cc2ccccc2)cc1,,,,,"1-(2-isopropylphenyl)-1-phenylethane [Benzene, 1-(1-methylethyl)-2-(1-phenylethyl)-]",191044-60-7,CC(C)C1=CC=CC=C1C(C)C1=CC=CC=C1,1
RVKCCVTVZORVGD,O=C1CCCC(=O)C1=CC1CC1,,,,,Trinexapac-ethyl,95266-40-3,CCOC(=O)C1CC(=O)C(=C(O)C2CC2)C(=O)C1,2
RWGFKTVRMDUZSP,c1ccccc1,NC,팀원A,NC,팀원A,Cumene,98-82-8,CC(C)c1ccccc1,5
RWNUSVWFHDHRCJ,__ACYCLIC__,2,팀원A,2,팀원A,1-butoxy-2-propanol,5131-66-8,CCCCOCC(C)O,2
RXCPQSJAVKGONC,O=S(=O)(Nc1ccccc1)c1nc2ncccn2n1,NC,팀원A,NC,팀원A,Flumetsulam,98967-40-9,CC1=NC2=NC(=NN2C=C1)S(=O)(=O)NC1=C(F)C=CC=C1F,2
RYAUSSKQMZRMAI,c1ccc(CCCN2CCOCC2)cc1,NC,phase1,2,phase1,Fenpropimorph,67564-91-4,CC(Cc1ccc(C(C)(C)C)cc1)CN1C[C@@H](C)O[C@@H](C)C1,3
RYGMFSIKBFXOCR,__ACYCLIC__,NC,팀원A,NC,팀원A,copper - <1,7440-50-8,[Cu],2
RYYVLZVUVIJVGH,O=c1[nH]c(=O)c2[nH]cnc2[nH]1,NC,phase1,NC,phase1,Caffeine,,Cn1c(=O)c2c(ncn2C)n(C)c1=O,1
RYYWUUFWQRZTIU,__ACYCLIC__,,,,,phosphorothioate,,[O-]P([O-])([O-])=S,2
SBNFWQZLDJGRLK,O=C(OCc1cccc(Oc2ccccc2)c1)C1CC1,NC,팀원A,NC,팀원A,Phenothrin,26002-80-2,CC(C)=CC1C(C(=O)OCC2=CC=CC(OC3=CC=CC=C3)=C2)C1(C)C,2
SBPBAQFWLVIOKP,c1ccncc1,2,팀원A,NC,팀원A,Chlorpyrifos,2921-88-2,CCOP(=S)(OCC)Oc1nc(Cl)c(Cl)cc1Cl,6
SCXCDVTWABNWLW,__ACYCLIC__,NC,팀원A,1,팀원A,Octyl decyl dimethyl ammonium chloride,32426-11-2,[Cl-].CCCCCCCCCC[N+](C)(C)CCCCCCCC,4
SECXISVLQFMRJM,O=C1CCCN1,2A,phase1,2,phase1,3.2 Hazardous components,872-50-4,CN1CCCC1=O,13
SIKJAQJRHWYJAI,c1ccc2[nH]ccc2c1,1,phase1,NC,phase1,Indole,,c1ccc2[nH]ccc2c1,1
SILSDTWXNBZOGF,O=C1C=CCCC1,NC,팀원A,NC,팀원A,Clethodim,99129-21-2,CCSC(C)CC1CC(=O)C(C(CC)=NOC/C=C/Cl)=C(O)C1,2
SLINHMUFWFWBMU,__ACYCLIC__,,,,,Triisopropanolamine,,CC(O)CN(CC(C)O)CC(C)O,1
SLKPBCXNFNIJSV,c1ccc(C2CCCC2)cc1,,,,,Cuparene,,Cc1ccc([C@]2(C)CCCC2(C)C)cc1,1
SLYAVQCIBHSIQW,c1ccncc1,,,,,Aminopyralid Triisopropanolamine Salt,,CC(O)CN(CC(C)O)CC(C)O.Nc1cc(Cl)nc(C(=O)O)c1Cl,1
SMDHCQAYESWHAE,c1ccccc1,2,팀원A,2,팀원A,Benfluralin (technical),1861-40-1,CCCCN(CC)C1=C(C=C(C=C1[N+]([O-])=O)C(F)(F)F)[N+]([O-])=O,1
SMI:c1ccn2[O-]->[Zn+2]3(<-[O-]n4ccccc4=[S]3)[S]=c2c1,c1ccn2[O-]->[Zn+2]3(<-[O-]n4ccccc4=[S]3)[S]=c2c1,1,phase1,NC,phase1,Zinc pyrithione,13463-41-7,[O-]1N2C=CC=CC2=[S][Zn++]11[O-]N2C=CC=CC2=[S]1,3
SMKRKQBMYOFFMU,O=C1C=CC(OC(=O)C2CC2)C1,NC,phase1,NC,phase1,Prallethrin,23031-36-9,CC(C)=CC1C(C(=O)OC2CC(=O)C(CC#C)=C2C)C1(C)C,21
SOUGWDPPRBKJEX,c1ccccc1,NC,팀원A,NC,팀원A,Zoxamide,156052-68-5,CCC(C)(NC(=O)C1=CC(Cl)=C(C)C(Cl)=C1)C(=O)CCl,8
SQSDCNHOYPJGDQ,__ACYCLIC__,1,phase1,1,phase1,Acetic acid boron trifluoride (2:1),373-61-5,[H+].[H+].[F-].CC(=O)O[B-](F)(F)OC(C)=O,1
SRJQTHAZUNRMPR,O=C1CC2C(=CC3C2C=CC2CC(OC4CCCCO4)CC23)C(=O)CC(OC2CCCCO2)CCCCO1,,,,,Note : Spinosad is comprised of Spinosyn A () and Spinosyn D,131929-60-7,CC[C@H]1CCC[C@H](O[C@H]2CC[C@H](N(C)C)[C@@H](C)O2)[C@@H](C)C(=O)C2=C[C@@H]3[C@@H](C=C[C@@H]4C[C@@H](O[C@@H]5O[C@@H](C)[C@H](OC)[C@@H](OC)[C@H]5OC)C[C@@H]34)[C@@H]2CC(=O)O1,3
SRPJGPPDQIFOGY,c1ccccc1,,,,,"Triisopropanolamine Salt of 2,4-Dichlorophenoxyacetic Acid",,CC(O)CN(CC(C)O)CC(C)O.O=C(O)COc1ccc(Cl)cc1Cl,2
SRYMBUMLIMKZJO,__ACYCLIC__,,,,,"1-[2,2-Bis(2-methylpropoxymethyl)butoxy]propan-2-amine",,CCC(COCC(C)C)(COCC(C)C)COCC(C)N,2
STAPBGVGYWCRTF,c1ccccc1,,,,,MCPA sodium salt (active ingredient),3653-48-3,Cc1cc(Cl)ccc1OCC(=O)[O-].[Na+],2
STJLVHWMYQXCPB,c1ccc(C2(Cn3cncn3)OCCO2)cc1,NC,phase1,NC,phase1,Propiconazole,60207-90-1,CCCC1COC(CN2C=NC=N2)(O1)C1=C(Cl)C=C(Cl)C=C1,25
SUKJFIGYRHOWBL,__ACYCLIC__,1,팀원A,1,팀원A,Sodium Hypochlorite [C]Corrosive,7681-52-9,[Na+].[O-]Cl,6
SUSQOBVLVYHIEX,c1ccccc1,NC,phase1,NC,phase1,Phenylacetonitrile,,N#CCc1ccccc1,1
SVURIXNDRWRAFU,C1CC2CC3CCCC3(C1)C2,,,,,Cedrol,,C[C@@H]1CC[C@H]2C(C)(C)[C@H]3C[C@@]12CC[C@@]3(C)O,1
SWXVUIWOUIDPGS,__ACYCLIC__,2,팀원A,NC,팀원A,Diacetone Alcohol,123-42-2,CC(=O)CC(C)(C)O,2
SXRSQZLOMIGNAQ,__ACYCLIC__,1,팀원A,1,팀원A,Glutaraldehyde,111-30-8,O=CCCCC=O,4
SXSGXWCSHSVPGB,O=C(Nc1ccccc1-c1ccccc1)c1cn[nH]c1,NC,팀원A,NC,팀원A,Fluxapyroxad,907204-31-3,Cn1cc(C(=O)Nc2ccccc2-c2cc(F)c(F)c(F)c2)c(C(F)F)n1,10
SXYRTDICSOVQNZ,__ACYCLIC__,,,,,2-Methoxyethoxyethanol,,COCCOC(C)O,2
SYELZBGXAIXKHU,__ACYCLIC__,1,팀원A,2,팀원A,"N,N-Dimethyldodecylamine-N-oxide",1643-20-5,CCCCCCCCCCCC[N+](C)(C)[O-],1
SYJGKVOENHZYMQ,O=S(=O)(Nc1nc2ccncn2n1)c1ccccc1,NC,팀원A,NC,팀원A,Penoxsulam,219714-96-2,COC1=CN=C(OC)N2N=C(NS(=O)(=O)C3=C(C=CC=C3OCC(F)F)C(F)(F)F)N=C12,16
TWFZGCMQGLPBSX,c1ccc2[nH]cnc2c1,NC,팀원A,NC,팀원A,Carbendazim,10605-21-7,COC(=O)NC1=NC2=CC=CC=C2N1,7
TYIYMOAHACZAMQ,c1ccc(Oc2ccccc2)cc1,NC,팀원A,NC,팀원A,Cyhalofop-butyl,122008-85-9,CCCCOC(=O)[C@@H](C)OC1=CC=C(OC2=C(F)C=C(C=C2)C#N)C=C1,5
TZCXTZWJZNENPQ,__ACYCLIC__,NC,팀원A,NC,팀원A,Barium Sulphate,7727-43-1,O=S(=O)([O-])[O-].[Ba+2],2
UAHWPYUMFXYFJY,__ACYCLIC__,2A,phase1,2,phase1,Myrcene,,C=CC(=C)CCC=C(C)C,12
UBAUJRANUAYEKE,C1=CCCCC1,2A,phase1,2,phase1,"3-Buten-2-one, 3-methyl-4-(3,5,6-trimethyl-3-cyclohexen-1-yl)-",,CC(=O)/C(C)=C/C1CC(C)=CC(C)C1C,1
UBCKGWBNUIFUST,c1ccccc1,NC,팀원A,NC,팀원A,Tetrachlorvinphos,22248-79-9,COP(=O)(OC)O/C(=C\Cl)c1cc(Cl)c(Cl)cc1Cl,3
UBQNRHZMVUUOMG,c1ccc2oncc2c1,,,,,Zonisamide,,NS(=O)(=O)Cc1noc2ccccc12,1
UCDPMNSCCRBWIC,O=C(Nc1ncccn1)NS(=O)(=O)Nc1ccccc1,NC,팀원A,NC,팀원A,Orthosulfamuron,213464-77-8,COC1=CC(OC)=NC(NC(=O)NS(=O)(=O)NC2=C(C=CC=C2)C(=O)N(C)C)=N1,2
UDPGUMQDCGORJQ,__ACYCLIC__,1,팀원A,1,팀원A,2-Cloroethylphosphonic acid,16672-87-0,OP(O)(=O)CCCl,2
UEUXEKPTXMALOB,__ACYCLIC__,1,phase1,NC,phase1,Edetate Sodium,,O=C([O-])CN(CCN(CC(=O)[O-])CC(=O)[O-])CC(=O)[O-].[Na+].[Na+].[Na+].[Na+],1
UFEIWEXHHOXPGP,O=C([N-]S(=O)(=O)c1ccccn1)Nc1ncccn1,NC,팀원A,NC,팀원A,"Synonyms : Trifloxysulfuron sodium,Trifloxysulfuron sodium salt",199119-58-9,COc1cc(OC)nc(NC(=O)[N-]S(=O)(=O)c2ncccc2OCC(F)(F)F)n1.[Na+],6
UFEODZBUAFNAEU,N=C(C1=NOCCO1)c1ccccc1Oc1cc(Oc2ccccc2)ncn1,NC,팀원A,NC,팀원A,Fluoxastrobin,361377-29-9,CO/N=C(/C1=NOCCO1)c1ccccc1Oc1ncnc(Oc2ccccc2Cl)c1F,4
UFNOUKDBUJZYDE,c1ccc(C(CC2CC2)Cn2cncn2)cc1,NC,팀원A,NC,팀원A,Cyproconazole,94361-06-5,CC(C1CC1)C(O)(CN1C=NC=N1)C1=CC=C(Cl)C=C1,8
UFWIBTONFRDIAS,c1ccc2ccccc2c1,NC,팀원A,NC,팀원A,Napthalene (from aromatic hydrocarbon) 3 High 0 Reactivity,91-20-3,c1ccc2ccccc2c1,20
UHXUZOCRWCRNSJ,__ACYCLIC__,NC,팀원A,NC,팀원A,Methomyl,16752-77-5,CNC(=O)ON=C(C)SC,4
ULBTUVJTXULMLP,__ACYCLIC__,NC,팀원A,NC,팀원A,butyl stearate,123-95-5,CCCCCCCCCCCCCCCCCC(=O)OCCCC,1
UOBSVARXACCLLH,__ACYCLIC__,NC,팀원A,NC,팀원A,"Hexanedioic acid, monomethyl ester",627-91-8,COC(=O)CCCCC(=O)O,2
UPMLOUAZCHDJJD,c1ccc(Cc2ccccc2)cc1,2,팀원A,2,팀원A,Methylenediphenyl diisocyanate,101-68-8,O=C=Nc1ccc(Cc2ccc(N=C=O)cc2)cc1,3
UTYIRBZMZJZIFV,O=C1C=CCCC1.O=C1C=CCCC1,NC,팀원A,NC,팀원A,Prohexadione-calcium,127277-53-6,[Ca++].[Ca++].CCC(=O)C1=C([O-])CC(CC1=O)C([O-])=O.CCC(=O)C1=C([O-])CC(CC1=O)C([O-])=O,4
UWKAYLJWKGQEPM,__ACYCLIC__,,,,,Linalyl Acetate,,C=CC(C)(CCC=C(C)C)OC(C)=O,3
UZCGKGPEKUCDTF,c1ccc(Nc2ccccn2)cc1,,,,,Fluazinam,79622-59-6,O=[N+]([O-])c1cc(C(F)(F)F)c(Cl)c([N+](=O)[O-])c1Nc1ncc(C(F)(F)F)cc1Cl,3
VAMXMNNIEUEQDV,c1ccccc1,2A,phase1,NC,phase1,Methyl Anthranilate,,COC(=O)c1ccccc1N,2
VAYOSLLFUXYJDT,C1=C2c3cccc4[nH]cc(c34)CC2NCC1,,,,,acid,,CCN(CC)C(=O)[C@@H]1C=C2c3cccc4[nH]cc(c34)C[C@H]2N(C)C1,2
VBCVPMMZEGZULK,O=C(Nc1ccccc1)N1COC2Cc3ccccc3C2=N1,NC,팀원A,NC,팀원A,Indoxacarb,173584-44-6,COC(=O)N(C(=O)N1CO[C@]2(CC3=C(C=CC(Cl)=C3)C2=N1)C(=O)OC)C1=CC=C(OC(F)(F)F)C=C1,2
VDLGAVXLJYLFDH,O=C(Nc1ccccc1)C1CCCCC1,NC,phase1,NC,phase1,"dicarboximide ,  (Main constituent) ,  ,  ,  fenhexamid 10-20",126833-17-8,CC1(C(=O)Nc2ccc(O)c(Cl)c2Cl)CCCCC1,6
VEVZCONIUDBCDC,c1ccc(Cc2cncnc2)cc1,2,팀원A,2,팀원A,Flurprimidol,56425-91-3,CC(C)C(O)(C1=CC=C(OC(F)(F)F)C=C1)C1=CN=CN=C1,2
VEXZGXHMUGYJMC,__ACYCLIC__,1,팀원A,1,팀원A,Hydrochloric Acid HCl g/mol,7647-01-0,Cl,4
VGTBJCXVMSBEEQ,c1ccccc1,,,,,N-(4-Nitrophenyl)-N'-propylurea,13141-86-1,CCCNC(=O)Nc1ccc([N+](=O)[O-])cc1,3
VHLKTXFWDRXILV,c1ccc(-c2ccccc2)cc1,2,팀원A,NC,팀원A,Bifenazate,149877-41-8,COc1ccc(-c2ccccc2)cc1NNC(=O)OC(C)C,2
VILCJCGEZXAXTO,__ACYCLIC__,1,팀원A,1,팀원A,triethylenetetramine w/w,112-24-3,NCCNCCNCCN,2
VJYFKVYYMZPMAB,__ACYCLIC__,NC,팀원A,NC,팀원A,Ethoprop,13194-48-4,CCCSP(=O)(OCC)SCCC,1
VJYIFXVZLXQVHO,O=C(Nc1ncncn1)NS(=O)(=O)c1ccccc1,,,,,chlorsulfuron,64902-72-3,COc1nc(C)nc(NC(=O)NS(=O)(=O)c2ccccc2Cl)n1,2
VKONPUDBRVKQLM,C1CCCCC1,,,,,"1,4-Cyclohexanediol, mixture of cis and trans",556-48-9,OC1CCC(O)CC1,1
VKYKSIONXSXAKP,C1N2CN3CN1CN(C2)C3,,,,,Hexamethylene Tetramine,,C1N2CN3CN1CN(C2)C3,1
VLCQZHSMCYCDJL,O=C(Nc1ncncn1)NS(=O)(=O)c1ccccc1,2,팀원A,NC,팀원A,Tribenuron-methyl,101200-48-0,COC(=O)C1=CC=CC=C1S(=O)(=O)NC(=O)N(C)C1=NC(OC)=NC(C)=N1,8
VLKZOEOYAKHREP,__ACYCLIC__,,,,,Hexane,,CCCCCC,2
VLXDPFLIRFYIME,C1=CC2C3CCCC2C3C1,,,,,Copaene,,CC1=CC[C@H]2[C@H]3[C@@H]1[C@]2(C)CC[C@H]3C(C)C,1
VMUXSMXIQBNMGZ,O=C1CCc2ccccc2O1,,,,,Dihydrocoumarin,119-84-6,O=C1CCc2ccccc2O1,1
VNWKTOKETHGBQD,__ACYCLIC__,,,,,methane 0.0001,,C,2
VSMOENVRRABVKN,__ACYCLIC__,,,,,1-Octen-3-Ol,,C=CC(O)CCCCC,1
VTNQPKFIQCLBDU,c1ccccc1,NC,phase1,2,phase1,Acetochlor,34256-82-1,CCOCN(C(=O)CCl)C1=C(CC)C=CC=C1C,17
VTOZSZHERIQMJG,O=C1CNC=CC1C=[NH+]CCC1C(=O)Nc2ccccc21,,,,,VCP,,CC1NC=C(COP(=O)(O)O)C(C=[NH+][C@@H](C[C@@H]2C(=O)Nc3ccccc32)C(=O)O)C1=O,2
VTYYLEPIZMXCLO,__ACYCLIC__,NC,phase1,NC,phase1,Calcium carbonate <,1317-65-3,O=C([O-])[O-].[Ca+2],11
VVQNEPGJFQJSBK,__ACYCLIC__,,,,,Methyl Methacrylate,,C=C(C)C(=O)OC,2
VXSIXFKKSNGRRO,O=C1C=CC(OC(=O)C2CC2)C1.O=C1C=CC(OC(=O)C2CC2)C1,NC,팀원A,NC,팀원A,Pyrethrins,8003-34-7,C=C/C=C\CC1=C(C)[C@@H](OC(=O)[C@@H]2[C@@H](/C=C(\C)C(=O)OC)C2(C)C)CC1=O.C=C/C=C\CC1=C(C)[C@@H](OC(=O)[C@@H]2[C@@H](C=C(C)C)C2(C)C)CC1=O,14
VYPSYNLAJGMNEJ,__ACYCLIC__,2,팀원A,2,팀원A,Silica,14808-60-7,O=[Si]=O,47
VZCYOOQTPOCHFL,__ACYCLIC__,,,,,Fumaric Acid,,O=C(O)/C=C/C(=O)O,2
VZJVWSHVAAUDKD,__ACYCLIC__,,,,,Potassium Permanganate,,[K+].[O]=[Mn](=[O])(=[O])[O-],2
WBIQQQGBSDOWNP,c1ccccc1,,,,,Dodecylbenzenesulfonic acid,,CCCCCCCCCCCCc1ccccc1S(=O)(=O)O,2
WCUXLLCKKVVCTQ,__ACYCLIC__,,,,,Muriate of Potash,7447-40-7,[Cl-].[K+],7
WCXDHFDTOYPNIE,c1ccncc1,NC,팀원A,NC,팀원A,Acetamiprid,135410-20-7,CC(=NC#N)N(C)Cc1ccc(Cl)nc1,8
WEEGYLXZBRQIMU,C1CC2CCC1CO2,2B,phase1,NC,phase1,"1,8-Cineole",470-82-6,CC12CCC(CC1)C(C)(C)O2,11
WEKMZMIIYLFEIJ,__ACYCLIC__,,,,,Sodium chlorite,,[Na+].[O-][Cl+][O-],2
WEVYAHXRMPXWCK,__ACYCLIC__,2,팀원A,NC,팀원A,acetonitrile,75-05-8,CC#N,3
WFDXOXNFNRHQEC,c1ccc(Oc2cc(Oc3ccccc3)ncn2)cc1,NC,팀원A,NC,팀원A,Azoxystrobin,131860-33-8,CO/C=C(/C(=O)OC)c1ccccc1Oc1cc(Oc2ccccc2C#N)ncn1,29
WGYZMNBUZFHYRX,__ACYCLIC__,,,,,Dipropylene Glycol Monomethyl Ether (DPM) ≥75-≤90,34590-94-8,COCC(C)OCC(C)O,2
WHNWPMSKXPGLAX,O=C1CCCN1,,,,,Polyvinylpyrrolidone max NA,9003-39-8,C=CN1CCCC1=O,2
WJCNZQLZVWNLKY,c1ccc2[nH]c(-c3cscn3)nc2c1,NC,팀원A,NC,팀원A,Thiabendazole,148-79-8,c1ccc2[nH]c(-c3cscn3)nc2c1,11
WLLGXSLBOPFWQV,O=C1NC(=O)C2C3C=CC(C3)C12,NC,팀원A,NC,팀원A,N-OCTYL BICYCLOHEPTENE DICARBOXIMIDE,113-48-4,CCCCC(CC)CN1C(=O)[C@@H]2[C@H](C1=O)[C@@H]1C=C[C@H]2C1,7
WMWBFVSTSRDWRL,__ACYCLIC__,,,,,Potassium silicate <=100,1312-76-1,O=[Si]([O-])O.[K+],2
WNTGYJSOUMFZEP,c1ccccc1,1,phase1+팀원A,2,phase1,(+/-)-2-(4-Chloro-2-methylphenoxy)propionic acid,93-65-2,CC(OC1=C(C)C=C(Cl)C=C1)C(O)=O,8
WOWHHFRSBJGXCM,__ACYCLIC__,1,팀원A,1,팀원A,Hexadecyltrimethylammonium chloride (Cetrimonium chloride / CTAC),112-02-7,[Cl-].CCCCCCCCCCCCCCCC[N+](C)(C)C,1
WPALTCMYPARVNV,O=C(NCc1ccc(Oc2ccccc2)cc1)c1ccn[nH]1,2A,phase1,2,phase1,GSP Crop Science Limited,,CCc1nn(C)c(C(=O)NCc2ccc(Oc3ccc(C)cc3)cc2)c1Cl,2
